fiscal_year,organization_name,project_name,city,province,region,community_type,grant_or_contribution,amount_approved,presenter_type,disciplines,audiences,project_sub_type,project_type,amount_category,disciplines_media_art,disciplines_music,disciplines_theatre,disciplines_performance_art,disciplines_dance,disciplines_comedy,disciplines_circus,disciplines_other,disciplines_literature,disciplines_visual_arts,disciplines_storytelling,disciplines_variety,disciplines_heritage_centre/site,disciplines_cinema,audiences_cultural_diversity,audiences_young_audience,audiences_none,audiences_indigenous_communities,audiences_official_language_minority,audiences_rural_or_remote_regions
2017-2018,Festival du nouveau cinÃÂ©ma de MontrÃÂ©al,"FNC eXPlore, ÃÂvÃÂ©nements - Multi Year (1 of 2)",MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,15000,Specialized,['Media Art'],['None'],Programming,Festival,$12.0K,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Prince Edward County Classical Music Festival Inc.,Prince Edward County Music Festival,Picton,Ontario,Ontario,Rural,Grant,10000,Specialized,['Music'],['Young Audience'],Programming,Festival,$8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,New Dance Horizons Inc.,2016-2017 Seasons,Regina,Saskatchewan,Prairies,Medium Urban,Contribution,80000,Specialized,['Dance'],['None'],Programming,Series,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Golden Prairie Arts Council Inc.,Program Support Component 2016-2018 - Multi Year (2 of 2),Carman,Manitoba,Prairies,Rural,Grant,9500,Multidisciplinary,"['Music', 'Theatre']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,On the Edge Fringe Festival,2017 On the EDGE Fringe Festival,North Bay,Ontario,Ontario,Small Urban,Grant,8000,Specialized,['Theatre'],['None'],Programming,Festival,less than $8.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,ConfÃÂ©rence internationale des arts de la scÃÂ¨ne de MontrÃÂ©al (CINARS),ISPA MontrÃÂ©al 2017,MontrÃÂ©al,Quebec,Quebec,Large Urban,Contribution,50000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Circus']",['None'],Programming,Presenters Support Organization,$23.0K,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,ComitÃÂ© de la Culture de Cowansville inc.,Sur la scÃÂ¨ne Davignon On Stage - Multi Year (1 of 2),Cowansville,Quebec,Quebec,Large Urban,Grant,18000,Multidisciplinary,"['Music', 'Theatre', 'Other']","['Official Language Minority', 'Young Audience']",Programming,Series,$12.0K,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Shelter Valley Folk Festival (The),Shelter Valley Folk Festival - Multi Year (1 of 3),Grafton,Ontario,Ontario,Rural,Grant,20000,Specialized,['Music'],['None'],Programming,Festival & Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Nunatsiavut Government,Katingavik inuit arts festival,Nain,Newfoundland and Labrador,Atlantic,Remote,Contribution,50000,Specialized,['Dance'],['Indigenous Communities'],Development,Festival,$23.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-2017,Centre d'action artistique inc.,Sackville Festival of Early Music - Multi Year (1 of 2),Sackville,New Brunswick,Atlantic,Remote,Grant,15000,Specialized,['Music'],['Young Audience'],Programming,Festival,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Tour de Fort Canadian Concert Series Inc.,Tour de Fort Entertainment Series - Multi Year (2 of 2),Fort Frances,Ontario,Ontario,Remote,Grant,13000,Multidisciplinary,"['Music', 'Theatre']",['None'],Programming,Festival & Series,$12.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,ThÃÂ©ÃÂ¢tre du Nouvel-Ontario inc.(Le),Saisons artistiques 2016-2017 et 2017-2018 - Multi Year (2 of 2),Sudbury,Ontario,Ontario,Medium Urban,Grant,100000,Specialized,['Theatre'],"['Official Language Minority', 'Young Audience']",Programming,Series,$50.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Festival International de Jardins,16e et 17e ÃÂ©ditions du Festival international de jardins - Multi Year (2 of 2),Grand-MÃÂ©tis,Quebec,Quebec,Remote,Contribution,65000,Specialized,['Visual Arts'],['Young Audience'],Programming,Festival,$50.0K,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2016-2017,Jazz Yukon,Jazz on the Wing - Multi Year (1 of 2),Whitehorse,Yukon,Western,Rural,Grant,20600,Specialized,['Music'],['Young Audience'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Tides Canada Initiatives Society,Dene Nahjo Urban Hide Tanning Camp,Vancouver,British Columbia,Western,Large Urban,Contribution,15000,Specialized,['Other'],['Indigenous Communities'],Development,Festival,$12.0K,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2017-2018,Jazz Winnipeg Inc.,TD Winnipeg International Jazz Festival / Jazz Winnipeg Concert Season / Jazz Winnipeg Youth Outreach Program - Multi Year (2 of 2),Winnipeg,Manitoba,Prairies,Large Urban,Grant,75000,Specialized,['Music'],"['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Festival & Series,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2017-2018,Caravan World Rhythms Society,World Music & Dance Series - Multi Year (1 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,45000,Specialized,['Music'],['Cultural Diversity'],Programming,Series,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017-2018,Premier Acte,"Saisons thÃÂ©ÃÂ¢trales 2017-2018, 2018-2019, 2019-2020 - Multi Year (1 of 3)",Quebec,Quebec,Quebec,Large Urban,Grant,24000,Specialized,['Theatre'],['Young Audience'],Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Toronto Summer Music Foundation / La fondation de musique d'ete de Toronto,Toronto Summer Music Festival - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,20000,Specialized,['Music'],['Young Audience'],Programming,Festival,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Corporation culturelle de Shawinigan,Programmation 2017-2018 - Multi Year (1 of 2),Shawinigan,Quebec,Quebec,Small Urban,Grant,15000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Series,$12.0K,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Festival de la chanson de Tadoussac,Festival de la Chanson de Tadoussac 2016 + 2017 | Saison de programmation hors festival 2016 + 2017 - Multi Year (2 of 2),Tadoussac,Quebec,Quebec,Rural,Grant,40000,Multidisciplinary,"['Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Festival & Series,$23.0K,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Centre franÃÂ§ais Hamilton inc.,Programmation annuelle 2016-2017 et 2017-2018 - Multi Year (2 of 2),Hamilton,Ontario,Ontario,Large Urban,Grant,15000,Multidisciplinary,"['Dance', 'Music', 'Theatre']","['Official Language Minority', 'Young Audience']",Programming,Festival & Series,$12.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Association de Repentigny pour l'avancement de la musique L'ARAM (L'),Saison 2016-2017 et Saison 2017-2018 - Mutli Year (2 of 2),Repentigny,Quebec,Quebec,Small Urban,Grant,14000,Specialized,['Music'],['Young Audience'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,"Cercle MoliÃÂ¨re, inc. (Le)",Le ThÃÂ©ÃÂ¢tre Cercle MoliÃÂ¨re,Winnipeg,Manitoba,Prairies,Large Urban,Contribution,30000,Specialized,['Theatre'],['Official Language Minority'],Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-2017,Jazz Festivals Canada Inc.,National Jazz Presenters Initiative - Multi Year (1 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,45000,Specialized,['Music'],['None'],Programming,Presenters Support Organization,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Organization of Saskatchewan Arts Councils,Annual Showcase Conference and Performing Arts Series Programming - Multi Year (2 of 2),Regina,Saskatchewan,Prairies,Medium Urban,Grant,55000,Multidisciplinary,"['Music', 'Dance', 'Theatre']",['None'],Programming,Presenters Support Organization,$50.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Toronto Sketch Comedy Festival Inc. (The),The Toronto Sketch Comedy Festival,Toronto,Ontario,Ontario,Large Urban,Grant,24000,Specialized,['Comedy'],['Young Audience'],Programming,Festival,$23.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Vancouver West Side Theatre Society,Chutzpah! the Nemetz Jewish Performing Arts Festival and Chutzpah!PLUS Programming & Residencies - Multi Year (1 of 3),Vancouver,British Columbia,Western,Large Urban,Grant,30000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']",['Indigenous Communities'],Programming,Festival,$23.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2017-2018,Dryden Entertainment Series Inc.,Dryden Entertainment Series - Multi Year (1 of 3),Dryden,Ontario,Ontario,Remote,Grant,12000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['None'],Programming,Series,$8.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Corporation of the City of St. Catharines (The),FirstOntario Performing Arts Centre -HOT TICKET Presentation Series & Film House Program - Multi Year (1 of 3),St. Catharines,Ontario,Ontario,Medium Urban,Grant,45000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Circus']",['None'],Programming,Series,$23.0K,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Why Not Theatre,Why Not Theatre 2017/18 and 2018/19 Season - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,50000,Specialized,['Theatre'],"['Cultural Diversity', 'Young Audience']",Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2016-2017,Le MEG: Le MontrÃÂ©al ÃÂlectronique Groove inc.,Festival MEG 2016 - 18ÃÂ¨me ÃÂ©dition,MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,12000,Specialized,['Music'],['None'],Programming,Festival,$8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Camrose Performing Arts Centre Management Council,Presentation Season,Camrose,Alberta,Western,Small Urban,Grant,15000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']",['None'],Programming,Series,$12.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Productions DUA,Saison 2016-2017,Quebec,Quebec,Quebec,Large Urban,Grant,38350,Multidisciplinary,"['Music', 'Theatre', 'Comedy']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,"Manitoba Arts Network, Inc.",Presenter Support Organization (all regions of the province of Manitoba) - Multi Year (1 of 2),Winnipeg,Manitoba,Prairies,Large Urban,Grant,50000,Multidisciplinary,"['Music', 'Dance', 'Theatre', 'Visual Arts']",['None'],Programming,Presenters Support Organization,$23.0K,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2017-2018,Victoria Pretty Good Society,Pretty Good Not Bad 2017,Victoria,British Columbia,Western,Large Urban,Grant,6000,Multidisciplinary,"['Dance', 'Media Art', 'Music']","['Cultural Diversity', 'Young Audience', 'Indigenous Communities']",Development,Festival,less than $8.0K,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
2016-2017,Corporation du Bedeau (La),Programmation de spectacles 2016-2017 du Vieux couvent de Saint-Prime,Saint-Prime,Quebec,Quebec,Rural,Grant,10000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Canmore Folk Music Festival Society,Canmore Folk Music Festival - Multi Year (1 of 3),Canmore,Alberta,Western,Rural,Grant,45000,Specialized,['Music'],['None'],Programming,Festival,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Revelstoke Arts Council,Performance Series - Multi Year (2 of 2),Revelstoke,British Columbia,Western,Rural,Grant,8000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']","['Official Language Minority', 'Young Audience']",Programming,Series,less than $8.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Festival MontrÃÂ©al en lumiÃÂ¨re inc.,MontrÃÂ©al en LumiÃÂ¨re ÃÂ©ditions 2017 et 2018 - Multi Year (1 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Contribution,110000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Other']",['Official Language Minority'],Programming,Festival,$50.0K,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Atlantic Fringe Festival Society (The),Atlantic Fringe Festival,Halifax,Nova Scotia,Atlantic,Large Urban,Grant,20000,Multidisciplinary,"['Dance', 'Theatre']",['Young Audience'],Programming,Festival,$12.0K,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Victoria BC Ska Society,Victoria's Annual SKA & Reggae Festival + On the Road to SKA & Reggae Festival Series - Multi Year (2 of 2),Victoria,British Columbia,Western,Large Urban,Grant,20000,Specialized,['Music'],['Cultural Diversity'],Programming,Festival & Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017-2018,Regional Cultural / Events Centre Inc.,Harbourfront Theatre Presents - Multi Year (2 of 2),Summerside,Prince Edward Island,Atlantic,Rural,Contribution,30000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']","['Official Language Minority', 'Young Audience']",Programming,Series,$23.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Reel to Real: A Celebration of Moving Images for Youth Society,Reel 2 Real International Film Festival for Youth - Multi Year (2 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,16000,Specialized,['Media Art'],"['Cultural Diversity', 'Young Audience', 'Indigenous Communities']",Programming,Festival & Series,$12.0K,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
2017-2018,Indian River Festival Association Inc.,Indian River Festival 2017,Kensington,Prince Edward Island,Atlantic,Small Urban,Grant,37000,Multidisciplinary,"['Music', 'Other']",['Young Audience'],Programming,Series,$23.0K,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Troupe du Jour Inc.,Accueils de spectacles pour les saisons thÃÂ©ÃÂ¢trales 2016-2017 et 2017-2018 - Multi Year (2 of 2),Saskatoon,Saskatchewan,Prairies,Large Urban,Grant,30000,Specialized,['Theatre'],"['Official Language Minority', 'Young Audience']",Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Festival acadien de Caraquet Inc. (Le),54e Festival acadien de Caraquet,Caraquet,New Brunswick,Atlantic,Remote,Contribution,91605,Multidisciplinary,"['Visual Arts', 'Literature', 'Music', 'Theatre', 'Comedy']",['Official Language Minority'],Programming,Festival,$50.0K,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False
2017-2018,Toronto Blues Society,Blues For All - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,20000,Specialized,['Music'],['None'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Muni-Spec Mont-Laurier,"Saison:automne, hiver-printemps et estival - Multi Year (1 of 2)",Mont-Laurier,Quebec,Quebec,Rural,Grant,50000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Circus']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Amis du thÃÂ©ÃÂ¢tre Belcourt (Les),ThÃÂ©ÃÂ¢tre Belcourt 2016,Baie-du-Febvre,Quebec,Quebec,Medium Urban,Grant,20000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']","['Official Language Minority', 'Young Audience']",Programming,Series,$12.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Virtuosi Concerts (MB) Inc.,VCI Presents - Multi Year (2 of 2),Winnipeg,Manitoba,Prairies,Large Urban,Grant,18000,Specialized,['Music'],['None'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Carrefour mondial de l'accordÃÂ©on ÃÂ  Montmagny,28e Carrefour mondial de l'accordÃÂ©on (2016) et 29e Carrefour mondial de l'accordÃÂ©on (2017) - Multi Year (1 of 2),Montmagny,Quebec,Quebec,Rural,Grant,40000,Specialized,['Music'],['Young Audience'],Programming,Festival,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Simcoe Contemporary Dancers,Dusk Dances Barrie,Barrie,Ontario,Ontario,Medium Urban,Grant,10000,Specialized,"['Dance', 'Music']",['Young Audience'],Development,Festival,$8.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Osprey Arts Centre Association,Osprey Season - Multi Year (1 of 3),Shelburne,Nova Scotia,Atlantic,Remote,Grant,10000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Island Arts Centre Society,ArtSpring Presents - Multi Year (2 of 2),Salt Spring Island,British Columbia,Western,Rural,Grant,26000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Centre Culturel - Les Trois P'tits Points (Le),"Programmations annuelles 2017-2018, 2018-2019 et 2019-2020 - Multi Year (1 of 3)",Alexandria,Ontario,Ontario,Rural,Grant,15000,Multidisciplinary,"['Visual Arts', 'Music', 'Theatre', 'Comedy']",['Official Language Minority'],Programming,Series,$12.0K,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2016-2017,Music on Main Society,ISCM World New Music Days 2017 -  Multi Year (1 of 2),Vancouver,British Columbia,Western,Large Urban,Contribution,100000,Specialized,['Music'],"['Official Language Minority', 'Cultural Diversity', 'Rural or Remote Regions']",Development,Festival,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
2016-2017,Native Earth Performing Arts Inc.,The Aki Series,Toronto,Ontario,Ontario,Large Urban,Grant,42000,Multidisciplinary,"['Music', 'Theatre']",['Indigenous Communities'],Programming,Series,$23.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2017-2018,Sault Ste. Marie Community Theatre Centre (The),Over the Rainbow Children's Entertainment Series,Sault Ste. Marie,Ontario,Ontario,Small Urban,Grant,9000,Multidisciplinary,"['Music', 'Theatre']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,New Works of Art Calgary Society,2015-2016 season and 2016-2017 season - Multi Year (2 of 2),Calgary,Alberta,Western,Large Urban,Grant,5000,Specialized,['Music'],"['Official Language Minority', 'Young Audience']",Programming,Festival & Series,less than $8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Small Halls Inc.,The PEI Mutual Festival of Small Halls - Multi Year (2 of 2),Charlottetown,Prince Edward Island,Atlantic,Small Urban,Grant,25000,Multidisciplinary,"['Dance', 'Music']",['Official Language Minority'],Programming,Festival,$23.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Station Arts Centre Co-operative,Station Arts Centre Presentation Series - Multi Year (2 of 2),Rosthern,Saskatchewan,Prairies,Rural,Grant,14500,Specialized,['Music'],['None'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Brian Webb Dance Company (The),BWDC 2015/16&2016/17 Seasons - Multi Year (2 of 2),Edmonton,Alberta,Western,Large Urban,Contribution,72000,Specialized,['Dance'],"['Cultural Diversity', 'Young Audience']",Programming,Series,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2017-2018,ThÃÂ©ÃÂ¢tre PÃÂ©riscope,Saisons 2016-2017 et 2017-2018 - Multi Year (2 of 2),Quebec,Quebec,Quebec,Large Urban,Grant,57500,Specialized,['Theatre'],['Young Audience'],Programming,Series,$50.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Minnedosa Performing Arts Committee Inc.,Expressions Concert Series - Multi Year (2 of 2),Minnedosa,Manitoba,Prairies,Remote,Grant,3000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']",['None'],Programming,Series,less than $8.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,RADARTS Inc.,"Programmation RADARTS et FrancofÃÂªte en Acadie 2017-2018, 2018-2019 et 2019-2020 - Multi Year (1 of 3)",Caraquet,New Brunswick,Atlantic,Remote,Contribution,135500,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Official Language Minority'],Programming,Presenters Support Organization,$50.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Up in the Air Theatre Society,rEvolver Theatre Festival -  Multi Year (2 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,25000,Multidisciplinary,"['Literature', 'Theatre', 'Comedy']",['None'],Programming,Festival,$23.0K,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Centre rÃÂ©gional de loisirs culturels inc. (Le),Programmation culturelle de la rÃÂ©gion de Kapuskasing - Multi Year (2 of 2),Kapuskasing,Ontario,Ontario,Remote,Grant,30000,Multidisciplinary,"['Music', 'Theatre']",['Official Language Minority'],Programming,Festival & Series,$23.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-2017,Springboard Dance Collective Calgary Society,Fluid Festival & containR Season - Multi Year (1 of 2),Calgary,Alberta,Western,Large Urban,Grant,30000,Specialized,['Dance'],['Young Audience'],Programming,Festival & Series,$23.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Batuki Music Society Inc.,Batuki Music Concert Season and Habari Africa Festival - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,14000,Multidisciplinary,"['Dance', 'Music']","['Official Language Minority', 'Cultural Diversity']",Programming,Festival & Series,$12.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2016-2017,Presentation House Cultural Society,PH Theatre Presenting Series,North Vancouver,British Columbia,Western,Large Urban,Grant,10000,Multidisciplinary,"['Dance', 'Music', 'Theatre']","['Cultural Diversity', 'Young Audience']",Programming,Series,$8.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2017-2018,Multicultural Theatre Space (MT Space) Inc. (The),Presenting Series 16/17  (Year 1) and IMPACT 17 Theatre Festival/Presenting Series 17/18 - Multi Year (2 of 2),Kitchener,Ontario,Ontario,Large Urban,Grant,80000,Specialized,"['Dance', 'Music', 'Theatre']","['Cultural Diversity', 'Indigenous Communities']",Programming,Festival & Series,$50.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2016-2017,Mondial des Cultures de Drummondville,Mondial ÃÂditions - Multi Year (1 of 2),Drummondville,Quebec,Quebec,Small Urban,Grant,50000,Multidisciplinary,"['Dance', 'Music', 'Circus', 'Other', 'Variety']","['Young Audience', 'Indigenous Communities']",Programming,Festival,$23.0K,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
2016-2017,Societe Culturelle de Kent-Sud Inc. (La),Spectacles 2016-2017 et festival La Folie des arts 2016,Bouctouche,New Brunswick,Atlantic,Rural,Grant,9000,Multidisciplinary,"['Music', 'Theatre']","['Official Language Minority', 'Young Audience']",Programming,Festival & Series,$8.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Indian River Festival Association Inc.,Indian River Festival - Multi Year (2 of 2),Kensington,Prince Edward Island,Atlantic,Small Urban,Grant,37000,Multidisciplinary,"['Music', 'Other']",['Young Audience'],Programming,Festival & Series,$23.0K,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Festival international de la littÃÂ©rature (FIL),23e Festival international de la littÃÂ©rature (FIL) / 24e Festival international de la littÃÂ©rature (FIL) - Multi Year (1 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,45000,Specialized,['Literature'],['None'],Programming,Festival & Series,$23.0K,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Lunenburg Folk Harbour Society,"Lunenburg Folk Harbour Festival, Concert Series and Summer Bandstand Concert Series - Multi Year (2 of 2)",Lunenburg,Nova Scotia,Atlantic,Rural,Grant,23000,Specialized,"['Dance', 'Music']","['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Festival & Series,$12.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2017-2018,Hubcap Comedy Festival de l'humour inc.,2018 and 2019 HubCap Comedy Festival de l'humour - Multi Year (1 of 2),Moncton,New Brunswick,Atlantic,Small Urban,Contribution,30000,Specialized,['Comedy'],['None'],Programming,Festival,$23.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,University of British Columbia,The Chan Centre for the Performing Arts Presents Series - Multi Year (1 of 3),Vancouver,British Columbia,Western,Large Urban,Grant,30000,Specialized,['Music'],['None'],Programming,Series,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,SociÃÂ©tÃÂ© culturelle de Vanier (La),Centre d'art La Chapelle 2017-2018 et 2018-2019 - Multi Year (1 of 2),Quebec,Quebec,Quebec,Large Urban,Grant,25000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']","['Cultural Diversity', 'Young Audience']",Programming,Series,$23.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
